driverId,name,ssn,location,certified,wage-plan
10,Kevin Nelson,502-05-7504,"4897 Brian Path
Kristinstad, CT 01478",N,miles
11,Susan Wilson,268-25-6815,"3194 Kelly Plains
New Barbara, RI 55031",N,miles
12,Tiffany Hall,408-36-3887,"7199 Clark Rest
West Jefferyview, AR 88403",N,hours
13,Stanley Green,272-04-0081,"25548 Cindy Stravenue
East Johnnyberg, SD 25506",N,hours
14,Nicholas Jackson,682-79-1170,"Unit 9451 Box 7392
DPO AP 03158",N,miles
15,Latoya Johnston,586-30-8501,"90475 Anna Trail
Weberhaven, RI 72658",N,miles
16,Matthew Baker,518-77-0503,"884 Taylor Isle Suite 220
Aaronport, ME 91794",Y,hours
17,Sandra Ingram,449-89-8859,"543 Kimberly Island
Jennifershire, AZ 92869",N,miles
18,Steven Lara,312-80-5703,"1175 Vaughn Light
Lake Rebeccabury, SC 85044",Y,miles
19,Ethan Jackson,314-48-4388,"Unit 3851 Box 5842
DPO AE 55460",Y,miles
20,Michael Smith,782-02-0451,"2951 Miller Gardens
North Karen, NV 45363",Y,miles
21,Diana Cole,009-12-8038,"500 Brian Valley
Mackenzieton, KY 21587",N,miles
22,Stephanie Burns,175-96-5254,"6379 James Divide
North Michael, FM 94458",N,hours
23,Trevor Mullins,018-30-3384,"0397 Miller Plaza Suite 609
West Amber, OH 90634",Y,miles
24,Jamie Allen,784-76-3442,"9776 King Mews
Fryebury, CO 41336",Y,hours
25,Pamela Silva,813-10-3708,"2309 Lisa Mall
Port Sarahshire, DC 57252",N,miles
26,Mrs. Deborah Lynch DVM,362-91-4056,"PSC 8263, Box 8418
APO AP 88069",N,miles
27,Megan Hill,280-81-2051,"575 Miller Center Suite 296
Stevenborough, MP 27364",N,hours
28,Shaun Hubbard,623-07-0525,"580 Mccall Shores
Rodriguezside, FL 68087",Y,miles
29,Shannon Clayton,234-32-7488,"29134 Traci Creek
New Reginald, CT 22214",Y,miles
30,Patrick Hill,371-50-6289,"47447 White Plains Apt. 994
West Alexandrastad, CO 18991",N,hours
